name,value,year,lastValue,rank
William Thomas Astbury,149.473884,2008,160.380053,12
William Thomas Astbury,160.380053,2007,145.876153,12
William Thomas Astbury,145.876153,2006,136.447088,12
William Thomas Astbury,136.447088,2005,204.638014,12
William Thomas Astbury,204.638014,2004,332.291767,12
William Thomas Astbury,332.291767,2003,399.369102,12
William Thomas Astbury,399.369102,2002,370.322674,12
William Thomas Astbury,370.322674,2001,372.996912,12
William Thomas Astbury,372.996912,2000,395.188936,12
William Thomas Astbury,395.188936,1999,539.128252,12
William Thomas Astbury,539.128252,1998,605.975256,12
William Thomas Astbury,605.975256,1997,516.456756,12
William Thomas Astbury,516.456756,1996,505.937647,12
William Thomas Astbury,505.937647,1995,558.431375,12
William Thomas Astbury,558.431375,1994,566.997173,12
William Thomas Astbury,566.997173,1993,621.575438,12
William Thomas Astbury,621.575438,1992,581.584063,12
William Thomas Astbury,581.584063,1991,487.341647,12
William Thomas Astbury,487.341647,1990,473.862669,12
William Thomas Astbury,473.862669,1989,450.825799,12
William Thomas Astbury,450.825799,1988,421.773321,12
William Thomas Astbury,421.773321,1987,410.063442,12
William Thomas Astbury,410.063442,1986,411.370031,12
William Thomas Astbury,411.370031,1985,296.011705,12
William Thomas Astbury,296.011705,1984,340.81692,12
William Thomas Astbury,340.81692,1983,347.708059,12
William Thomas Astbury,347.708059,1982,295.525368,12
William Thomas Astbury,295.525368,1981,241.710657,12
William Thomas Astbury,241.710657,1980,280.385459,12
William Thomas Astbury,280.385459,1979,191.829059,12
William Thomas Astbury,191.829059,1978,544.956173,12
William Thomas Astbury,544.956173,1977,452.02302,12
William Thomas Astbury,452.02302,1976,523.147795,12
William Thomas Astbury,523.147795,1975,523.147795,12
William Thomas Astbury,523.147795,1974,523.147795,12
William Thomas Astbury,523.147795,1973,455.799303,12
William Thomas Astbury,455.799303,1972,455.799303,12
William Thomas Astbury,455.799303,1971,102.672188,12
William Thomas Astbury,102.672188,1970,102.672188,12
William Thomas Astbury,102.672188,1969,0,12
William Thomas Astbury,0,1968,0,12
William Thomas Astbury,0,1967,48.343365,12
William Thomas Astbury,48.343365,1966,149.707401,12
William Thomas Astbury,149.707401,1965,149.707401,12
William Thomas Astbury,149.707401,1964,210.70581,12
William Thomas Astbury,210.70581,1963,279.91161,12
William Thomas Astbury,279.91161,1962,279.91161,12
William Thomas Astbury,279.91161,1961,279.91161,12
William Thomas Astbury,279.91161,1960,310.169505,12
William Thomas Astbury,310.169505,1959,371.91049,12
William Thomas Astbury,371.91049,1958,371.91049,12
William Thomas Astbury,371.91049,1957,310.912082,12
William Thomas Astbury,310.912082,1956,241.706282,12
William Thomas Astbury,241.706282,1955,241.706282,12
William Thomas Astbury,241.706282,1954,241.706282,12
William Thomas Astbury,241.706282,1953,250.158672,12
William Thomas Astbury,250.158672,1952,87.05365,12
William Thomas Astbury,87.05365,1951,87.05365,12
William Thomas Astbury,87.05365,1950,87.05365,12
William Thomas Astbury,87.05365,1949,87.05365,12
